"Model","AIC","AIC_Rank","BIC","BIC_Rank","LogLikelihood","LogLikelihood_Rank"
"GARCH(3,1)-norm",-5.67637091335422,1,-5.63245815194455,4,-1711.74945946294,8
"GARCH(3,1)-ged",-5.67551032881773,2,-5.62427877383979,8,-1712.49085380973,9
"GARCH(2,1)-norm",-5.67520416226129,3,-5.6386101944199,2,-1710.39885075952,5
"GARCH(1,1)-norm",-5.67519810834717,4,-5.64592293407406,1,-1709.39703155832,2
"GARCH(2,1)-ged",-5.67485690678917,5,-5.63094414537951,6,-1711.29450049015,7
"GARCH(1,1)-ged",-5.673961031323,6,-5.63736706348161,3,-1710.02528991256,3
"GARCH(2,1)-std",-5.67147219574161,7,-5.62755943433194,7,-1710.27739482035,4
"GARCH(3,1)-std",-5.67136572238018,8,-5.62013416740223,9,-1711.24539957524,6
"GARCH(1,1)-std",-5.66885657820563,9,-5.63226261036424,5,-1708.49140175079,1
