"Model","MAE","RMSE"
"GARCH(1,1)-std",0.00776922490124921,0.00996050474838626
"GARCH(1,1)-ged",0.00777321386990544,0.00996251160921329
"GARCH(1,1)-norm",0.00777559850853616,0.00996387607108246
