"Model","MAE_1","RMSE_1","MAE_3","RMSE_3"
"ARMA(1,1)",0.00812675880499186,0.0103009374506165,0.00802219040167437,0.0101546739721641
"ARMA(5,8)",0.00855773890406253,0.010940610310729,0.00825117516090816,0.0103929052632791
"ARMA(1,1)*",0.0080190059766034,0.0102460740298995,0.0078837777101044,0.0100470395393017
