"Date","Actual","ARMA11_1","ARMA58_1","ARMA11_1_mod","ARMA11_3","ARMA58_3","ARMA11_3_mod"
"2023-09-25",0.00473847141086736,0.00444815821268751,0.00308821828473031,0.00461174823026383,NA,NA,NA
"2023-09-26",-0.0151301924279519,-0.0157660371522736,-0.0137904091364953,-0.017551102926439,NA,NA,NA
"2023-09-27",0.00234066316373216,0.00245911966374188,0.000978655271644031,-0.000115727117640982,0.00218075291089267,0.00302031442787111,0.00234066203679635
"2023-09-28",0.0083303987715011,0.0100729557192889,0.00791195913286572,0.00820658327200289,0.00769199631574038,0.0070907681721145,0.00591175994465791
"2023-09-29",0.000725972716168144,0.00110885744456301,0.000340577065109541,0.00126059454308553,0.00413104431863259,0.0150368247848946,0.000725909922972617
"2023-10-02",0.00831098167186539,0.00840518036669858,0.00852732439305033,0.00874117194087668,0.0102788065929257,0.0234661618278218,0.00831090194011499
"2023-10-03",-0.0177053935305729,-0.0183189334280808,-0.0146202636850518,-0.0163098411025406,-0.0177209188098984,-0.00250025965638707,-0.0176213704299766
"2023-10-04",0.0135168108761334,0.0115856982332198,0.0167046513099102,0.0098839870940944,0.0133742777368627,0.0238566969665204,0.0135935925941249
"2023-10-05",-0.00295085174600374,-0.000674283968930121,-0.00162024149972991,0.000582965404860705,-0.00408505872536613,0.00724872623368225,-0.00263413192385579
"2023-10-06",0.0166167295432693,0.0164084092286486,0.0150277999044222,0.0168558105149677,0.0172789897622408,0.0296034257777985,0.0163230086732894
"2023-10-09",0.00508697630916988,0.00920736654108163,0.00918540268002694,0.0122671891371784,0.00450074326435713,0.0181135852030852,0.00508750973132659
"2023-10-10",0.00552278656690142,0.00325607443512732,0.0111249799523774,0.00543350987076509,0.0052891246721709,0.0220370598484126,0.00552408800920888
"2023-10-11",0.00710993735607968,0.00653816871216843,0.00945442698182835,0.00931680817044119,0.00557457016021886,0.017438484153165,0.0113335758095209
"2023-10-12",-0.00348111337511536,-0.00510693196080267,-0.00134481174737554,-0.00231205689534827,-0.00557003970349375,0.00921655461325182,-0.00351149223861091
"2023-10-13",-0.0126495480344824,-0.0169642375051315,-0.0167238117659518,-0.0140165889176784,-0.0140359210220918,-0.0155925160647506,-0.0114472351082567
"2023-10-16",0.0112428885213696,0.00725236828848631,0.0162270606550213,0.00895744855085392,0.00903207162943028,0.0117774040984195,0.011735364110145
"2023-10-17",-0.00328076865626681,-0.00126276006398969,-0.00318667029559588,0.000649879610206622,-0.00618618818028831,0.00566717602140974,-0.0037720963274313
"2023-10-18",-0.0132047169472198,-0.0168194192144867,-0.0184411538725308,-0.0149119606126477,-0.0152960073232641,-0.00632252217481616,-0.0139316743830715
"2023-10-19",-0.00940091204451843,-0.013992526456214,-0.0103797239184198,-0.0128173775655905,-0.00964419928486151,-0.00168948767746168,-0.00764820792680178
"2023-10-20",-0.0150302760129488,-0.0164011667598507,-0.013163145087708,-0.0160665150866953,-0.0170220653837348,-0.006704862104958,-0.0154290301984682
"2023-10-23",0.00301291609170828,0.00193471532109916,0.000578032968460047,0.00147933895263055,0.00200575154463874,0.0103156623591808,0.00280853164113514
"2023-10-24",0.00968115243479151,0.0112853053753393,0.00913567998729974,0.0109762385314279,0.00912018913417273,0.0119894069217313,0.0094270771110541
"2023-10-25",-0.0247804108772591,-0.0241996018533109,-0.0271415362728286,-0.0240317165974677,-0.0247431718943874,-0.0157593372574298,-0.025179501325354
"2023-10-26",-0.0192512500797779,-0.0225419208398646,-0.0177531666996467,-0.0234198430724261,-0.0184508567293898,-0.019170323466508,-0.018742074255047
"2023-10-27",0.0047896933407463,0.00565064204997035,0.00321589676147291,0.0046046498572966,0.00485586631957432,0.0146536294660412,0.00501538971207825
"2023-10-30",0.0112022911170602,0.0125694548231071,0.0056316188367923,0.0112095037915784,0.0120055803765803,0.0276431603211759,0.0111133144065668
"2023-10-31",0.00477098817972266,0.00618252648622748,-0.00098103314414026,0.00514177608531895,0.00637008504684476,0.013604944678616,0.00477098473826519
"2023-11-01",0.0172078803958762,0.0182698202247266,0.0163363065257113,0.0172263628958228,0.0185793885247416,0.0300639801435415,0.0172080493920171
"2023-11-02",0.0179905531452489,0.0177531398020204,0.020366195818133,0.0176688449261396,0.0189757151901535,0.0278888664271271,0.0180439133075145
"2023-11-03",0.011680301545411,0.00960146825042094,0.00716524502436523,0.010045910472418,0.0124765499970949,0.0133512400818176,0.0116803015831687
"2023-11-06",0.00407096349128455,0.00140646154560897,-0.00492965089201476,0.0020411192283207,0.00415587952159657,-0.00553120535582547,0.00407093713229419
"2023-11-07",0.00940824275272512,0.00751073117638371,0.00305635812073217,0.00813691482466715,0.00888284411985257,0.00901531532493377,0.00939981013614445
"2023-11-08",0.000643729359762979,-0.00223865840447342,0.00083080586995184,-0.00150464881196216,-0.000377307477544612,-0.00497811643264811,0.00045945079390831
"2023-11-09",-0.0077252503822649,-0.00956038418267015,-0.0101174618305705,-0.00877824137897982,-0.00882935077600874,-0.0162545931936463,-0.00794670373388936
"2023-11-10",0.0222332197423443,0.0222210028108799,0.0308261389875018,0.0229640998975717,0.0205473206978994,0.0231366182717024,0.0215566166198872
"2023-11-13",-0.00312335265037422,-0.00620144138604853,-0.00556417718476526,-0.00530144829631114,-0.00452029666507615,0.00140369861304909,-0.00347368797318078
"2023-11-14",0.0212979139746876,0.019464135728383,0.0263810584551289,0.0204470155855413,0.0205754421809659,0.0232880284050799,0.0215002431687262
